Area_0,Area_1,Area_2,Area_3,Area_4,label
47.5,3,2227,4,0,0
36,3,2231.5,4,0,0
36.5,13,12261.5,12,10,1
47,197,14,13,12154.5,1
35,1100.5,12,13,12168,1
37,199.5,12,13,12086.5,1
45.5,97,4,3,1985.5,0
35.5,95.5,4,3,1952.5,0
37,97,2,3,1954,0
46,3,2043,4,0,0
33,3,2038.5,4,0,0
37,3,2033.5,4,0,0
47,3,2031,4,0,0
35.5,3,2047,4,0,0
37,3,2096.5,4,0,0
48.5,3,2088.5,4,0,0
46.5,3,2085.5,4,0,0
60.5,3,2089.5,4,0,0
58,3,2094.5,4,0,0
37,13,12091,14,10,1
47.5,195,14,13,12013.5,1
60.5,198.5,12,13,12010.5,1
36.5,197,12,13,12022,1
47,98.5,2,3,2016.5,0
59.5,98.5,4,3,1988,0
137.5,2,3,1949,0,0
45.5,3,2131.5,2,0,0
58,3,2179,4,0,0
37,3,2168.5,4,0,0
2,46,3,2170.5,4,0
5.5,58.5,3,2174,4,0
37,10.5,3,2166.5,4,0
47,16,3,2165.5,4,0
19,13,12263.5,12,10,1
23.5,13,12203,10,10,1
29,13,12235,12,10,1
32.5,13,12230.5,12,10,1
36.5,3,2127,2,0,0
37.5,3,2065,2,0,0
47.5,3,2090,4,0,0
59,3,2057.5,4,0,0
47,3,2038.5,4,0,0
48,3,2045.5,4,0,0
59,3,2128.5,4,0,0
49,3,2185.5,4,0,0
47,3,2179.5,4,0,0
35.5,3,2167.5,4,0,0
36,3,2171.5,4,0,0
49.5,3,2171,4,0,0
36,3,2163.5,4,0,0
38,13,12195,12,10,1
48.5,197,14,13,12087.5,1
36,1100.5,12,13,12081.5,1
60,196.5,14,13,12080,1
58.5,97,2,3,1971,0
50,100.5,2,3,1934,0
48,98.5,2,3,1939,0
36,3,2047,4,0,0
60,3,2027.5,4,0,0
35.5,3,2023,4,0,0
48,3,2028,4,0,0
36.5,3,2084,4,0,0
36,3,2129,4,0,0
47,3,2130.5,4,0,0
35.5,3,2124.5,4,0,0
59,3,2127.5,4,0,0
59.5,3,2126,4,0,0
49,3,2128,4,0,0
38,13,12145.5,12,10,1
49.5,198.5,12,13,12044,1
48.5,1100.5,12,13,12040.5,1
49.5,99.5,2,3,2027,0
58.5,98.5,2,3,1952.5,0
38,95,4,3,1937,0
61,95.5,4,3,1941.5,0
98.5,2,47.5,3,1949,0
